0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
59,75
58,47
91,75
65,55
25,80
56,68
68,45
60,85
56,70
92,44
36,95
34,8
9,63
41,59
49,91
30,64
59,57
17,5
28,33
5,13
33,20
99,27
88,27
55,64
60,27
17,35
15,33
40,90
44,38
89,85
43,35
20,27
45,44
38,64
40,93
77,23
12,51
39,42
30,69
59,15
49,98
39,51
18,63
100,98
29,65
6,89
55,65
3,47
31,23
8,8
46,67
76,42
67,10
24,51
5,83
61,34
54,10
36,28
70,16
96,89
30,88
64,59
24,43
60,36
23,58
83,73
60,43
7,42
92,22
70,48
91,87
89,57
61,68
33,21
15,73
64,95
54,62
77,41
33,73
69,46
23,86
82,5
87,81
66,93
89,82
27,7
6,36
93,3
11,28
11,8
11,44
76,57
36,67
98,34
50,46
58,50
7,18
29,95
96,0
71,70
16,50
75,91
24,20
68,87
42,83
2,62
99,9
55,74
73,14
2,1
21,66
53,56
37,51
28,92
69,26
66,58
25,88
55,46
50,41
60,47
45,14
85,5
23,22
26,73
17,16
90,73
84,21
45,95
3,39
20,56
17,32
8,16
97,97
36,13
9,62
100,84
40,40
50,6
20,68
80,65
38,92
63,58
57,5
85,41
66,10
33,24
63,12
92,88
71,66
92,68
7,42
15,59
31,27
70,70
19,23
58,79
43,86
99,93
81,47
97,96
73,38
33,6
43,30
74,8
58,18
100,99
93,86
56,87
16,37
85,77
97,30
5,36
7,51
18,12
28,81
81,33
99,34
41,78
41,78
56,98
12,8
26,30
41,29
75,57
96,33
25,85
91,15
98,78
72,18
98,22
82,31
41,61
7,62
74,48
82,53
64,60
54,79
11,60
46,15
84,78
49,91
45,38
69,20
66,89
68,23
79,12
86,75
19,2
58,15
26,87
56,60
83,90
15,26
3,44
12,99
46,71
36,52
54,52
57,15
26,77
91,58
97,100
38,46
17,73
88,94
18,34
93,29
100,17
80,82
